danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,song_title,popularity_scores,genre
0.812,0.807,9,-3.354,1,0.339,0.11,0.0,0.211,0.4,136.979,4b3rGL8LDSkbARUUA20136,194840,4,VENOM,69,k-pop
0.475,0.618,6,-3.483,1,0.0451,0.118,0.0,0.196,0.46,139.829,4UJCTSc1E7fMmNJiHvowHF,205292,4,Fix Me,31,opm
0.619,0.502,0,-8.097,0,0.249,0.178,0.0,0.155,0.38,174.196,4Kh6cq3XgOGUK9yXQu7RTq,134483,4,overwhelmed - Chri$tian Gate$ remix,67,alt z
0.811,0.638,7,-6.088,0,0.146,0.0569,2.57e-06,0.0632,0.631,104.975,657fvLznLpNSFCSGqpQEVz,207941,4,Strawberry Psycho,33,japanese r&b
0.69,0.453,9,-9.312,1,0.0439,0.461,0.069,0.172,0.348,84.992,21a1k8q3DJtsF8GorRfcL8,258353,4,Mind Games,67,bass trap
0.723,0.491,0,-9.675,1,0.0405,0.304,0.0,0.118,0.585,102.005,7byGwLkiIzJdHOZKZMS8nd,172613,4,Something Super Sweet,62,alt z
0.692,0.982,11,-2.979,0,0.0684,0.162,0.0,0.136,0.799,127.975,5w24qGKT4DHCKHKU0jPlcK,238427,4,SPLASH FREE,46,
0.895,0.787,10,-5.0,0,0.206,0.43,0.0,0.0793,0.752,90.009,2yRnhiS36wm3MEkb1Vv3sQ,194667,4,BOTH,41,dance pop
0.712,0.75,5,-4.785,0,0.0518,0.013,3.77e-05,0.146,0.778,110.012,4ESjOXn7iahDSKSq5bZq7X,203455,4,Be Around,0,
0.65,0.913,5,-2.147,1,0.0758,0.15,0.0,0.345,0.594,124.025,0O4YelF6Zneq7sk1Ye73N2,249427,4,キャラクター,58,j-pop
0.679,0.904,10,-1.613,1,0.0431,0.132,0.0,0.106,0.787,127.976,3oy9Y621WDsAXSAwJKSSZV,229987,4,ずっとずっとずっと,52,j-pop
0.667,0.951,1,-0.997,1,0.054,0.05,0.0,0.288,0.799,130.011,2yOUBePdX7afs41FAy1XD7,231840,4,Landscape,48,j-pop
0.599,0.796,2,-2.672,1,0.23,0.289,0.0,0.111,0.64,199.647,7yR9U98UWyyIyO029NJ6tB,206413,4,Sun's Up,30,
0.874,0.6,6,-6.064,1,0.158,0.00942,0.0,0.126,0.457,100.012,4IaxDf2FixiQXq0mW7key9,174840,4,ZOOM,75,k-pop
0.68,0.477,1,-14.333,1,0.288,0.0148,0.0,0.331,0.569,84.736,1Rt54BJM5cIT3vpMAJiq9X,206890,4,Lover,0,
0.89,0.654,8,-4.368,1,0.213,0.434,0.0,0.0721,0.515,100.082,1HI84AsI0wokonlV760TRT,124800,4,hypotheticals,36,modern indie pop
0.831,0.499,11,-8.442,0,0.114,0.269,0.0,0.3,0.511,97.956,07KXEDMj78x68D884wgVEm,220487,4,High Fashion (feat. Mustard),72,melodic rap
0.709,0.548,10,-8.493,1,0.353,0.65,1.59e-06,0.133,0.543,83.995,1tkg4EHVoqnhR6iFEXb60y,160000,4,What You Know Bout Love,80,brooklyn drill
0.461,0.776,6,-4.498,1,0.0565,0.0149,0.0,0.12,0.291,149.985,3bjg5cbmuwDoS7e2dAWyRG,238862,4,Butterfly,69,k-pop
0.512,0.512,4,-6.008,0,0.285,0.654,0.0,0.148,0.434,95.11,2GlATHCDbLW7xq5BE0Bz5g,201609,1,Shot Clock,64,dance pop
0.575,0.684,1,-6.007,1,0.325,0.299,0.0,0.614,0.926,172.155,0DdpxWfVvUGgkJv5536tiF,204040,4,Sexy Can I feat. Yung Berg,0,pop rap
0.737,0.723,0,-4.165,0,0.0705,0.303,0.0,0.26,0.783,100.939,55Ctj6nVfobn9AcPe6sLG2,231893,4,Like,70,k-pop
0.706,0.332,8,-13.686,1,0.171,0.536,0.0,0.112,0.783,130.913,0C84gjuhYC6d0ihqdZzB2F,165790,4,You Right X Luxurious,2,
0.872,0.814,4,-4.875,1,0.215,0.0483,2.22e-05,0.0403,0.829,124.92,2ILz4eU7UCTv0Wup7F5lVt,146588,4,なにやってもうまくいかない,59,japanese viral pop
0.913,0.62,0,-6.674,1,0.0769,0.0354,0.106,0.091,0.552,105.986,1MKmSbQfJpEVnC3XfGywyF,188213,4,Tippy Toes,60,
0.745,0.681,1,-4.598,0,0.203,0.111,0.0,0.0865,0.521,99.995,0DEoLBczhPmawtTrfnWp8F,176012,4,if i die (Feat. ASH ISLAND),47,k-rap
0.869,0.648,11,-8.698,0,0.0633,0.121,2.17e-05,0.126,0.9,125.035,3koCCeSaVUyrRo3N2gHrd8,339320,4,Let's Groove,77,disco
0.658,0.729,7,-6.561,1,0.0378,0.00215,0.0013,0.0752,0.668,104.007,3bIxTsfeNMO7Nt2J3EUKrA,230133,4,22,57,pop
0.697,0.709,5,-1.917,0,0.0455,0.0452,0.0,0.138,0.787,134.91,6pymOcrCnMuCWdgGVTvUgP,213173,4,3,61,dance pop
0.487,0.809,1,-5.094,1,0.0345,0.109,0.000126,0.13,0.582,86.01,1Hpe55FfvUHQF9rAT9iXB5,229227,4,Alone Again,41,canadian pop
0.209,0.872,9,-2.996,1,0.0757,0.217,0.0,0.0768,0.294,78.139,7ceIquYtiTYlgSSm7PqUf9,281560,4,Already Gone,44,dance pop
0.674,0.632,7,-6.468,1,0.066,0.0311,0.000235,0.0778,0.905,151.989,5kiD3qnsuhV2YwH4bq93Yc,191693,4,Anything,45,canadian pop
0.669,0.78,7,-4.287,0,0.053,0.0265,1.63e-06,0.143,0.738,139.945,2Zj4FUsMtu9PMuJsHbGbdv,212333,4,Applause,0,art pop
0.571,0.873,0,-3.382,0,0.1,0.0811,0.0,0.361,0.613,139.691,0pwYLVXVknPSGUQb39cePC,229467,4,As Long As You Love Me,67,canadian pop
