,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,song_title,popularity_scores,genre
4,0.586,0.303,4,-10.627,0,0.0389,0.331,0.000418,0.111,0.206,132.883,audio_features,2ZTR12QV3W45yJd1S2gAxb,spotify:track:2ZTR12QV3W45yJd1S2gAxb,https://api.spotify.com/v1/tracks/2ZTR12QV3W45yJd1S2gAxb,https://api.spotify.com/v1/audio-analysis/2ZTR12QV3W45yJd1S2gAxb,233307,4,Do I Wait,19,alternative country
5,0.604,0.574,8,-8.06,1,0.0307,0.357,0.0,0.163,0.366,127.391,audio_features,1HeuEDA1PyJX339oaJJ9jN,spotify:track:1HeuEDA1PyJX339oaJJ9jN,https://api.spotify.com/v1/tracks/1HeuEDA1PyJX339oaJJ9jN,https://api.spotify.com/v1/audio-analysis/1HeuEDA1PyJX339oaJJ9jN,143627,4,Chains Of Love,17,alternative country
6,0.593,0.382,7,-10.696,1,0.0333,0.588,0.00357,0.11,0.318,128.715,audio_features,38Ka6PFDjKQnsUfxTlVdlU,spotify:track:38Ka6PFDjKQnsUfxTlVdlU,https://api.spotify.com/v1/tracks/38Ka6PFDjKQnsUfxTlVdlU,https://api.spotify.com/v1/audio-analysis/38Ka6PFDjKQnsUfxTlVdlU,284613,4,Invisible Riverside,18,alternative country
7,0.571,0.213,7,-13.404,1,0.0284,0.436,0.00103,0.0666,0.168,125.766,audio_features,4RmTLCUjzeCV5eoITbmJNr,spotify:track:4RmTLCUjzeCV5eoITbmJNr,https://api.spotify.com/v1/tracks/4RmTLCUjzeCV5eoITbmJNr,https://api.spotify.com/v1/audio-analysis/4RmTLCUjzeCV5eoITbmJNr,258653,4,Save Me,16,alternative country
8,0.726,0.289,10,-11.597,1,0.0328,0.538,0.00104,0.0982,0.368,125.995,audio_features,1xtHl1KBKOpTbZOsNSJyzf,spotify:track:1xtHl1KBKOpTbZOsNSJyzf,https://api.spotify.com/v1/tracks/1xtHl1KBKOpTbZOsNSJyzf,https://api.spotify.com/v1/audio-analysis/1xtHl1KBKOpTbZOsNSJyzf,270787,4,Kindness,15,alternative country
9,0.599,0.34,8,-12.081,1,0.0418,0.671,0.000107,0.094,0.346,120.301,audio_features,1xLiOXTkAetjRqmPQwELn4,spotify:track:1xLiOXTkAetjRqmPQwELn4,https://api.spotify.com/v1/tracks/1xLiOXTkAetjRqmPQwELn4,https://api.spotify.com/v1/audio-analysis/1xLiOXTkAetjRqmPQwELn4,172187,4,Lucky Now,50,alternative country
10,0.477,0.0583,4,-16.441,0,0.0367,0.773,0.00289,0.0829,0.0387,106.287,audio_features,0ivI6CSpXOFIRsbL1X6gER,spotify:track:0ivI6CSpXOFIRsbL1X6gER,https://api.spotify.com/v1/tracks/0ivI6CSpXOFIRsbL1X6gER,https://api.spotify.com/v1/audio-analysis/0ivI6CSpXOFIRsbL1X6gER,250440,4,I Love You But I Don't Know What To Say,19,alternative country
11,0.594,0.0698,4,-18.998,1,0.0503,0.9,3.04e-05,0.11,0.285,130.065,audio_features,6ix9wjxijlqGjHMZv9fDYm,spotify:track:6ix9wjxijlqGjHMZv9fDYm,https://api.spotify.com/v1/tracks/6ix9wjxijlqGjHMZv9fDYm,https://api.spotify.com/v1/audio-analysis/6ix9wjxijlqGjHMZv9fDYm,219093,4,Dirty Rain - Acoustic,13,alternative country
12,0.445,0.795,9,-6.136,1,0.0386,0.0182,0.000155,0.096,0.423,134.151,audio_features,0mJdVv8fPSeDDz1M7Idv4S,spotify:track:0mJdVv8fPSeDDz1M7Idv4S,https://api.spotify.com/v1/tracks/0mJdVv8fPSeDDz1M7Idv4S,https://api.spotify.com/v1/audio-analysis/0mJdVv8fPSeDDz1M7Idv4S,240684,4,Breakdown Into The Resolve,14,alternative country
13,0.507,0.707,0,-7.222,1,0.0315,0.41,0.323,0.125,0.777,140.391,audio_features,6REWGy6xYpv4v0q2gFXwWj,spotify:track:6REWGy6xYpv4v0q2gFXwWj,https://api.spotify.com/v1/tracks/6REWGy6xYpv4v0q2gFXwWj,https://api.spotify.com/v1/audio-analysis/6REWGy6xYpv4v0q2gFXwWj,151100,4,Dear Candy,15,alternative country
